iter	MultiClass
0	1.091343784
1	1.084114303
2	1.078746784
3	1.073944502
4	1.069470954
5	1.065580671
6	1.061901816
7	1.0584371
8	1.053936395
9	1.050639242
10	1.048113675
11	1.04451132
12	1.042378596
13	1.039482282
14	1.036918077
15	1.034583673
16	1.03251833
17	1.030134679
18	1.027970118
19	1.026096755
20	1.024595471
21	1.023240323
22	1.021504446
23	1.019197406
24	1.016982829
25	1.014808352
26	1.012797979
27	1.011102074
28	1.00809843
29	1.007293761
30	1.0059036
31	1.005258205
32	1.004035411
33	1.002794294
34	1.002021511
35	1.000224794
36	0.9993518568
37	0.9983280965
38	0.997502938
39	0.9964202281
40	0.9957249923
41	0.9940034413
42	0.9932510719
43	0.9918260563
44	0.9905149743
45	0.9891469146
46	0.9865946737
47	0.9858993405
48	0.9834990908
49	0.9821450995
50	0.9811555079
51	0.9807903014
52	0.9781250201
53	0.9768630327
54	0.9765013339
55	0.9747292244
56	0.9729724075
57	0.971512368
58	0.9707554976
59	0.9699371625
60	0.9683061294
61	0.9680683063
62	0.9680176021
63	0.9659682926
64	0.9653746983
65	0.9642887072
66	0.9624501547
67	0.9619853876
68	0.9612998361
69	0.9591116103
70	0.9589469474
71	0.95697425
72	0.9543110473
73	0.9533209859
74	0.9527952498
75	0.9519870267
76	0.9509305772
77	0.9506935427
78	0.9497435343
79	0.9488046905
80	0.9478967239
81	0.9477441198
82	0.9465364031
83	0.9451571066
84	0.9444877551
85	0.9434363614
86	0.9425668644
87	0.94129793
88	0.9393112968
89	0.9380446168
90	0.936769356
91	0.9355177066
92	0.9348164281
93	0.934235861
94	0.933698079
95	0.9323549833
96	0.9310859344
97	0.9294810193
98	0.9288072168
99	0.9276974157
100	0.9261711945
101	0.9256074324
102	0.9244040305
103	0.9233224311
104	0.9225725601
105	0.9223631517
106	0.9210600425
107	0.9207165329
108	0.9197804534
109	0.9187824511
110	0.9180424893
111	0.9173383352
112	0.9166428991
113	0.915396261
114	0.9147765733
115	0.9125275458
116	0.9095061016
117	0.9087630573
118	0.9078863744
119	0.9067664732
120	0.906281624
121	0.9046343722
122	0.9028186048
123	0.9020290716
124	0.9011759151
125	0.900497027
126	0.8999461436
127	0.8998467405
128	0.8989615274
129	0.8975707389
130	0.8963278727
131	0.8954094355
132	0.8931928994
133	0.8925283112
134	0.8913562101
135	0.8906589614
136	0.8895453328
137	0.8884923931
138	0.8881521719
139	0.8869132219
140	0.8860305995
141	0.8852884265
142	0.8847042756
143	0.8829815032
144	0.8821695214
145	0.880871323
146	0.8788390622
147	0.8784412126
148	0.8776358579
149	0.8762762771
150	0.8755282309
151	0.8746686563
152	0.8733581963
153	0.8721776007
154	0.8710703406
155	0.8704490515
156	0.8699588248
157	0.8687491117
158	0.8676524508
159	0.8664213994
160	0.8654676989
161	0.8641282169
162	0.8625809062
163	0.8616246661
164	0.8594057537
165	0.8583524115
166	0.857311763
167	0.8560572887
168	0.8542522435
169	0.8523387699
170	0.851697439
171	0.8504978205
172	0.8494627638
173	0.8480367713
174	0.8467992171
175	0.845757062
176	0.8450733701
177	0.8435495755
178	0.842892212
179	0.8418756623
180	0.84094516
181	0.8396023459
182	0.8391162635
183	0.837815592
184	0.8364203265
185	0.8349427074
186	0.834034701
187	0.8333539788
188	0.8324867388
189	0.831220404
190	0.8302536057
191	0.8284373088
192	0.8266485865
193	0.8253784921
194	0.8242444279
195	0.8229454003
196	0.8226001343
197	0.8214324385
198	0.820518382
199	0.8196399909
