iter	Passed	Remaining
0	102	20462
1	149	14832
2	169	11103
3	185	9091
4	202	7907
5	218	7065
6	236	6522
7	266	6406
8	301	6397
9	332	6319
10	366	6295
11	397	6231
12	429	6176
13	460	6123
14	492	6077
15	523	6025
16	554	5967
17	586	5930
18	619	5905
19	656	5904
20	692	5901
21	729	5900
22	761	5859
23	793	5820
24	825	5779
25	858	5745
26	893	5726
27	926	5694
28	958	5650
29	990	5610
30	1030	5620
31	1056	5548
32	1090	5518
33	1125	5494
34	1156	5452
35	1196	5451
36	1229	5415
37	1267	5403
38	1316	5435
39	1361	5445
40	1402	5437
41	1442	5426
42	1477	5393
43	1512	5361
44	1564	5389
45	1602	5363
46	1634	5320
47	1666	5277
48	1699	5238
49	1732	5196
50	1764	5155
51	1800	5125
52	1845	5119
53	1877	5074
54	1889	4981
55	1921	4942
56	1964	4927
57	1997	4890
58	2031	4854
59	2062	4811
60	2095	4774
61	2125	4731
62	2138	4650
63	2170	4612
64	2202	4574
65	2235	4538
66	2266	4498
67	2301	4467
68	2335	4433
69	2370	4401
70	2408	4375
71	2440	4339
72	2473	4304
73	2518	4288
74	2560	4267
75	2594	4233
76	2636	4211
77	2677	4187
78	2713	4156
79	2748	4122
80	2783	4089
81	2807	4039
82	2840	4003
83	2875	3970
84	2924	3957
85	2970	3938
86	3016	3917
87	3053	3886
88	3093	3858
89	3130	3826
90	3172	3799
91	3207	3764
92	3240	3728
93	3273	3691
94	3308	3656
95	3342	3621
96	3375	3584
97	3408	3547
98	3441	3511
99	3473	3473
100	3510	3441
101	3554	3414
102	3589	3380
103	3623	3344
104	3654	3306
105	3687	3269
106	3717	3231
107	3756	3199
108	3797	3170
109	3830	3133
110	3860	3095
111	3889	3056
112	3920	3018
113	3952	2981
114	3976	2939
115	4006	2901
116	4036	2863
117	4070	2828
118	4102	2792
119	4132	2754
120	4161	2716
121	4190	2679
122	4219	2641
123	4248	2604
124	4277	2566
125	4307	2529
126	4338	2493
127	4368	2457
128	4398	2420
129	4429	2385
130	4460	2349
131	4490	2313
132	4522	2278
133	4554	2243
134	4585	2207
135	4616	2172
136	4648	2137
137	4679	2102
138	4711	2067
139	4742	2032
140	4774	1997
141	4806	1963
142	4836	1927
143	4867	1893
144	4899	1858
145	4933	1824
146	4965	1790
147	4993	1754
148	5023	1719
149	5054	1684
150	5088	1651
151	5122	1617
152	5152	1582
153	5182	1548
154	5212	1513
155	5242	1478
156	5271	1443
157	5299	1408
158	5328	1373
159	5357	1339
160	5386	1304
161	5416	1270
162	5445	1236
163	5476	1202
164	5508	1168
165	5540	1134
166	5571	1100
167	5603	1067
168	5635	1033
169	5667	1000
170	5698	966
171	5728	932
172	5760	899
173	5791	865
174	5823	831
175	5856	798
176	5895	766
177	5927	732
178	5959	699
179	5989	665
180	6021	632
181	6052	598
182	6084	565
183	6115	531
184	6146	498
185	6176	464
186	6215	432
187	6248	398
188	6286	365
189	6320	332
190	6352	299
191	6386	266
192	6420	232
193	6454	199
194	6487	166
195	6519	133
196	6552	99
197	6584	66
198	6617	33
199	6649	0
